S,K,r,q,sigma,T,Call,Put,Forward,S2
70,80,0.1,0.05,0.1,0.1,1.25827e-05,9.553125739,70.35087646,4900
70,80,0.1,0.05,0.1,0.2,0.002845858,9.11525136,70.7035117,4900
70,80,0.1,0.05,0.1,0.4,0.066357096,8.315605097,71.4140938,4900
70,80,0.1,0.05,0.1,0.6,0.233171504,7.643146842,72.13181738,4900
70,80,0.1,0.05,0.1,0.7,0.348638483,7.347764938,72.49337962,4900
70,80,0.1,0.05,0.1,1.0,0.783265863,6.584199591,73.58897675,4900
70,80,0.1,0.05,0.1,1.2,1.122611073,6.152728659,74.32855826,4900
70,80,0.1,0.05,0.1,1.3,1.302080737,5.954992774,74.70113171,4900
70,80,0.1,0.05,0.1,1.4,1.486491332,5.76758277,75.07557269,4900
70,80,0.1,0.05,0.1,1.5,1.674897191,5.589491262,75.45189056,4900
70,80,0.1,0.05,0.1,1.6,1.866504009,5.419862879,75.83009474,4900
70,80,0.1,0.05,0.1,1.7,2.060639949,5.257965368,76.21019467,4900
70,80,0.1,0.05,0.1,1.8,2.256732985,5.103166929,76.59219986,4900
70,80,0.1,0.05,0.1,1.9,2.454293054,4.954918357,76.97611986,4900
70,80,0.1,0.05,0.1,2.0,2.652897904,4.812738888,77.36196427,4900
70,80,0.1,0.05,0.12,0.1,0.000256753,9.55336991,70.35087646,4900
70,80,0.1,0.05,0.12,0.2,0.014402443,9.126807945,70.7035117,4900
70,80,0.1,0.05,0.12,0.3,0.068039798,8.74584671,71.05791452,4900
70,80,0.1,0.05,0.12,0.4,0.162954985,8.412202986,71.4140938,4900
70,80,0.1,0.05,0.12,0.5,0.290905678,8.117565796,71.77205844,4900
70,80,0.1,0.05,0.12,0.6,0.44365936,7.853634698,72.13181738,4900
70,80,0.1,0.05,0.12,0.7,0.614802639,7.613929093,72.49337962,4900
70,80,0.1,0.05,0.12,0.8,0.799591097,7.393638068,72.85675419,4900
70,80,0.1,0.05,0.12,1.3,1.832335278,6.485247315,74.70113171,4900
70,80,0.1,0.05,0.12,1.4,2.049400716,6.330492155,75.07557269,4900
70,80,0.1,0.05,0.12,1.5,2.267720036,6.182314107,75.45189056,4900
70,80,0.1,0.05,0.12,1.6,2.486698753,6.040057624,75.83009474,4900
70,80,0.1,0.05,0.12,1.7,2.705852329,5.903177749,76.21019467,4900
70,80,0.1,0.05,0.12,1.8,2.924782367,5.77121631,76.59219986,4900
70,80,0.1,0.05,0.12,1.9,3.143158763,5.643784066,76.97611986,4900
70,80,0.1,0.05,0.12,2.0,3.360706141,5.520547125,77.36196427,4900
70,80,0.1,0.05,0.14,0.0,0.0,10.0,70.0,4900
70,80,0.1,0.05,0.14,0.3,0.147938097,8.825745009,71.05791452,4900
70,80,0.1,0.05,0.14,0.6,0.703430568,8.113405906,72.13181738,4900
70,80,0.1,0.05,0.14,0.7,0.928250123,7.927376578,72.49337962,4900
